id,lat,lon
436,36.0,101.0
437,36.0,101.0
438,28.0,109.0
439,28.0,109.0
440,36.0,101.0
441,36.0,101.0
442,36.0,101.0
443,36.0,101.0
444,27.0,119.0
445,27.0,119.0
446,34.7,107.8
447,34.7,107.8
448,34.7,107.8
449,34.7,107.8
450,27.0,119.0
451,27.0,119.0
452,37.5,139.0
453,37.5,139.0
454,34.7,107.8
455,34.7,107.8
456,32.3,114.0
457,32.3,114.0
458,37.5,139.0
459,37.5,139.0
460,28.0,103.0
461,28.0,103.0
462,27.0,119.0
463,27.0,119.0
464,29.0,109.0
465,29.0,109.0
466,22.0,100.0
467,22.0,100.0
468,26.0,100.0
469,26.0,100.0
470,26.0,100.0
471,26.0,100.0
472,47.5,133.5
473,47.5,133.5
474,22.0,100.0
475,22.0,100.0
476,36.0,101.0
477,36.0,101.0
478,63.0,129.5
479,63.0,129.5
480,43.5,81.5
481,43.5,81.5
482,37.5,139.0
483,37.5,139.0
484,47.5,133.5
485,47.5,133.5
486,50.4,126.5
487,50.4,126.5
488,27.0,119.0
489,27.0,119.0
490,32.3,114.0
491,32.3,114.0
492,36.5,74.0
493,36.5,74.0
494,63.0,129.5
495,63.0,129.5
496,27.0,119.0
497,27.0,119.0
498,26.0,100.0
499,26.0,100.0
500,48.5,124.0
501,48.5,124.0
502,34.7,107.8
503,34.7,107.8
504,28.0,103.0
505,28.0,103.0
506,32.3,114.0
507,32.3,114.0
508,37.5,139.0
509,37.5,139.0
510,63.0,129.5
511,63.0,129.5
512,44.0,81.0
513,44.0,81.0
514,12.0,105.0
515,12.0,105.0
516,28.0,103.0
517,28.0,103.0
518,48.5,119.0
519,48.5,119.0
520,63.0,129.5
521,63.0,129.5
522,28.0,109.0
523,28.0,109.0
524,36.5,74.0
525,36.5,74.0
526,36.5,74.0
527,36.5,74.0
528,63.0,129.5
529,63.0,129.5
530,47.5,133.5
531,47.5,133.5
532,12.0,105.0
533,12.0,105.0
534,63.0,129.5
535,63.0,129.5
536,37.5,139.0
537,37.5,139.0
538,48.5,119.0
539,48.5,119.0
540,29.0,109.0
541,29.0,109.0
542,50.4,126.5
543,50.4,126.5
544,33.5,70.0
545,33.5,70.0
546,44.0,81.0
547,44.0,81.0
548,50.4,126.5
549,50.4,126.5
550,37.5,139.0
551,37.5,139.0
552,33.5,70.0
553,33.5,70.0
554,36.5,74.0
555,36.5,74.0
556,37.5,139.0
557,37.5,139.0
558,37.5,139.0
559,37.5,139.0
560,37.5,139.0
561,37.5,139.0
562,48.5,119.0
563,48.5,119.0
564,47.5,133.5
565,47.5,133.5
566,37.5,139.0
567,37.5,139.0
568,37.5,139.0
569,37.5,139.0
570,37.5,139.0
571,37.5,139.0
572,33.5,70.0
573,33.5,70.0
574,33.5,70.0
575,33.5,70.0
576,37.5,139.0
577,37.5,139.0
578,33.5,70.0
579,33.5,70.0
580,63.0,129.5
581,63.0,129.5
582,36.5,74.0
583,36.5,74.0
584,36.5,74.0
585,36.5,74.0
586,48.5,124.0
587,48.5,124.0
588,63.0,129.5
589,63.0,129.5
590,50.4,126.5
591,50.4,126.5
592,63.0,129.5
593,63.0,129.5
594,12.0,105.0
595,12.0,105.0
596,33.5,70.0
597,33.5,70.0
598,43.5,81.5
599,43.5,81.5
600,48.5,124.0
601,48.5,124.0
602,43.5,81.5
603,43.5,81.5
604,63.0,129.5
605,63.0,129.5
606,63.0,129.5
607,63.0,129.5
608,37.5,139.0
609,37.5,139.0
610,63.0,129.5
611,63.0,129.5
612,63.0,129.5
613,63.0,129.5
614,48.5,124.0
615,48.5,124.0
616,50.4,126.5
617,50.4,126.5
618,37.5,139.0
619,37.5,139.0
620,50.4,126.5
621,50.4,126.5
622,36.5,74.0
623,36.5,74.0
624,36.5,74.0
625,36.5,74.0
626,47.5,133.5
627,47.5,133.5
628,37.5,139.0
629,37.5,139.0
630,63.0,129.5
631,63.0,129.5
632,37.5,139.0
633,37.5,139.0
634,37.5,139.0
635,37.5,139.0
636,63.0,129.5
637,63.0,129.5
638,12.0,105.0
639,12.0,105.0
640,30.5,66.5
641,30.5,66.5
642,48.5,119.0
643,48.5,119.0
644,63.0,129.5
645,63.0,129.5
646,30.5,66.5
647,30.5,66.5
648,37.5,139.0
649,37.5,139.0
650,44.0,81.0
651,44.0,81.0
