rate loglikelihood    
0.04986638 -4553.3870792286325
0.02062077 -4272.712250602708
0.02409586 -4318.0384876945345
0.00888754 -4099.809494483755
0.00946448 -4107.639553514991
0.00924344 -4104.582149342255
0.02004196 -4264.794908805435
0.00812507 -4090.4082494482477
0.01672128 -4217.395964154085
0.00696825 -4079.5677770791453
0.01324905 -4164.769210656316
0.01107613 -4131.319391907402
0.00611297 -4076.1578011069514
0.01756297 -4229.71884809082
0.02156838 -4285.4475055707935
0.0114201 -4136.563091209724
0.01143591 -4136.80510504925
0.02975276 -4383.937833481896
0.00560373 -4077.187943167245
0.00725486 -4081.732395737923
0.01653802 -4214.686949773986
0.00687614 -4078.964601277055
0.01376669 -4172.750662633963
0.00464552 -4089.450317550593
0.01453895 -4184.593574305894
0.01667386 -4216.69587135849
0.00554247 -4077.51776145376
0.00824355 -4091.7796593353305
0.00575805 -4076.5682108322276
0.01223908 -4149.161053357711
0.0055393 -4077.5361995297358
0.00601201 -4076.1428697077185
0.00933391 -4105.82564932679
0.0243009 -4320.595059983733
0.00765413 -4085.371435425717
0.02654597 -4347.748069682962
0.00647389 -4076.947519121866
0.01475797 -4187.933904333515
0.00543223 -4078.2403259690045
0.01141461 -4136.479228238876
0.01940758 -4255.997562285225
0.00642997 -4076.7951040041094
0.00294086 -4189.595567158751
0.01028376 -4119.438929633895
0.00733492 -4082.4080924418386
0.02324533 -4307.293894253797
0.00196545 -4382.914956196185
0.00566091 -4076.9239885594575
0.01028376 -4119.438929633895
0.00725486 -4081.732395737923
0.01653802 -4214.686949773986
0.0055393 -4077.5361995297358
0.00566091 -4076.9239885594575
0.00641083 -4076.7332618417945
0.00838801 -4093.5006660212184
0.01099965 -4130.1592779680195
0.01069059 -4125.496930013356
0.0168628 -4219.481846791556
0.01043262 -4121.643456250934
0.00609841 -4076.1496441840036
0.01034089 -4120.283154545811
0.02514191 -4330.946366076646
0.00422139 -4101.574827461184
0.01281136 -4158.005498874345
0.00592684 -4076.2087371917787
0.01387784 -4174.460561164358
0.00561902 -4077.113271100261
0.00322008 -4160.669492280494
0.00779107 -4086.7615249978826
0.00921356 -4104.173996294594
0.01336116 -4166.499884412291
0.00739549 -4082.9381845167445
0.00219836 -4317.815878519258
0.01126872 -4134.2506557438455
0.01602716 -4207.08782055715
0.01120107 -4133.219601829443
0.01091685 -4128.905817147882
0.00558358 -4077.290970259489
0.00598359 -4076.1566419834635
0.00436221 -4096.941737892298
0.00779744 -4086.8277740930607
0.00626662 -4076.3607337258927
0.00568673 -4076.818241431348
0.01499635 -4191.558696015267
0.00564203 -4077.0065518498704
0.00793482 -4088.288867931248
0.00599127 -4076.1521208279146
0.0099681 -4114.818639665527
0.00569791 -4076.77500100061
0.00482477 -4085.794126139028
0.00982762 -4112.78989208653
0.00625566 -4076.339425878733
0.0082996 -4092.4412422480423
0.00531001 -4079.2484723075095
0.00555441 -4077.449620634315
0.00975837 -4111.796820840471
0.00467222 -4088.856466083813
0.00536175 -4078.793985798268
0.00964742 -4110.216064161354
0.00693849 -4079.3676980161204
0.00883695 -4099.148209109341
0.00644606 -4076.8492451265024
0.00864581 -4096.692686740604
0.00445471 -4094.2432433672816
0.00555569 -4077.44238659723
0.00613474 -4076.173669531853
0.0086621 -4096.89923066419
0.00547839 -4077.917048199804
0.00850783 -4094.966053682456
0.00560039 -4077.2046704704694
0.00931918 -4105.6225214765245
0.00643821 -4076.8225800369323
0.00564048 -4077.0135286439886
0.00863825 -4096.5970691298835
0.00546842 -4077.984269806793
0.00504055 -4082.3347344660847
0.00459429 -4090.6405232214092
0.006326 -4076.4937283152385
0.00934166 -4105.932813751152
0.007048 -4080.1278806650193
0.00845268 -4094.287479324739
0.00687074 -4078.9307225442903
0.0061567 -4076.1940906857194
0.00667041 -4077.7998097879117
0.00464846 -4089.3840193051847
0.00734902 -4082.530064753625
0.0061376 -4076.176076034203
0.00551215 -4077.699673579235
0.00653806 -4077.195903493985
0.00570096 -4076.7634846282135
0.00613407 -4076.1731198182747
0.0066797 -4077.8466859670134
0.00555251 -4077.46033882951
0.00781209 -4086.9806378850344
0.00625144 -4076.331487830353
0.00649693 -4077.0332278686487
0.00520089 -4080.3473815250136
0.00524504 -4079.87925006417
0.00836425 -4093.214100650948
0.00630608 -4076.4458594763237
0.0066269 -4077.5880716950433
0.00701798 -4079.9130050366357
0.00639752 -4076.6919312016535
0.00497178 -4083.3341964787724
0.00611012 -4076.1560494220366
0.00644856 -4076.8578446505862
0.00646259 -4076.90692997358
0.00552045 -4077.648642093619
0.00671683 -4078.039474055824
0.00605679 -4076.137383322435
0.00770174 -4085.8472257848316
0.00628636 -4076.401701714218
0.00597694 -4076.1610381766136
0.00646192 -4076.904540070388
0.00505167 -4082.1817867088193
0.00656879 -4077.3253168432025
0.00645129 -4076.867268724292
0.0060917 -4076.1465552582877
0.00638758 -4076.6619438265675
0.00540052 -4078.480275804451
0.00643958 -4076.8272048571516
0.0046941 -4088.383181955942
0.00610548 -4076.153355245693
0.00690249 -4079.132228327041
0.00605611 -4076.1373206925855
