id	xcoord	ycoord	type	neighbours
175	15	8	0	155,174,176,195
176	16	8	0	156,175,177,196
177	17	8	0	157,176,178,197
178	18	8	0	158,177,179,198
179	19	8	0	159,178,199
180	0	9	0	160,181,200
181	1	9	0	161,180,182,201
182	2	9	0	162,181,183,202
183	3	9	0	163,182,184,203
184	4	9	0	164,183,185,204
185	5	9	0	165,184,186,205
186	6	9	0	166,185,187,206
187	7	9	0	167,186,188,207
188	8	9	0	168,187,189,208
189	9	9	0	169,188,190,209
190	10	9	0	170,189,191,210
191	11	9	0	171,190,192,211
192	12	9	0	172,191,193,212
193	13	9	0	173,192,194,213
194	14	9	0	174,193,195,214
195	15	9	0	175,194,196,215
196	16	9	0	176,195,197,216
197	17	9	0	177,196,198,217
198	18	9	0	178,197,199,218
199	19	9	0	179,198,219
200	0	10	0	180,201,220
201	1	10	0	181,200,202,221
202	2	10	0	182,201,203,222
203	3	10	0	183,202,204,223
204	4	10	0	184,203,205,224
205	5	10	0	185,204,206,225
206	6	10	0	186,205,207,226
207	7	10	0	187,206,208,227
208	8	10	0	188,207,209,228
209	9	10	0	189,208,210,229
210	10	10	0	190,209,211,230
211	11	10	0	191,210,212,231
212	12	10	0	192,211,213,232
213	13	10	0	193,212,214,233
214	14	10	0	194,213,215,234
215	15	10	0	195,214,216,235
216	16	10	0	196,215,217,236
217	17	10	0	197,216,218,237
218	18	10	0	198,217,219,238
219	19	10	0	199,218,239
220	0	11	0	200,221,240
221	1	11	0	201,220,222,241
222	2	11	0	202,221,223,242
223	3	11	0	203,222,224,243
224	4	11	0	204,223,225,244
225	5	11	0	205,224,226,245
226	6	11	0	206,225,227,246
227	7	11	0	207,226,228,247
228	8	11	0	208,227,229,248
229	9	11	0	209,228,230,249
230	10	11	0	210,229,231,250
231	11	11	0	211,230,232,251
232	12	11	0	212,231,233,252
233	13	11	0	213,232,234,253
234	14	11	0	214,233,235,254
235	15	11	0	215,234,236,255
236	16	11	0	216,235,237,256
237	17	11	0	217,236,238,257
238	18	11	0	218,237,239,258
239	19	11	0	219,238,259
240	0	12	0	220,241,260
241	1	12	0	221,240,242,261
242	2	12	0	222,241,243,262
243	3	12	0	223,242,244,263
244	4	12	0	224,243,245,264
245	5	12	0	225,244,246,265
246	6	12	0	226,245,247,266
247	7	12	0	227,246,248,267
248	8	12	0	228,247,249,268
249	9	12	0	229,248,250,269
250	10	12	0	230,249,251,270
251	11	12	0	231,250,252,271
252	12	12	0	232,251,253,272
253	13	12	0	233,252,254,273
254	14	12	0	234,253,255,274
255	15	12	0	235,254,256,275
256	16	12	0	236,255,257,276
257	17	12	0	237,256,258,277
258	18	12	0	238,257,259,278
259	19	12	0	239,258,279
260	0	13	0	240,261,280
261	1	13	0	241,260,262,281
262	2	13	0	242,261,263,282
263	3	13	0	243,262,264,283
264	4	13	0	244,263,265,284
265	5	13	0	245,264,266,285
266	6	13	0	246,265,267,286
267	7	13	0	247,266,268,287
268	8	13	0	248,267,269,288
269	9	13	0	249,268,270,289
270	10	13	0	250,269,271,290
271	11	13	0	251,270,272,291
272	12	13	0	252,271,273,292
273	13	13	0	253,272,274,293
274	14	13	0	254,273,275,294
275	15	13	0	255,274,276,295
276	16	13	0	256,275,277,296
277	17	13	0	257,276,278,297
278	18	13	0	258,277,279,298
279	19	13	0	259,278,299
280	0	14	0	260,281,300
281	1	14	0	261,280,282,301
282	2	14	0	262,281,283,302
283	3	14	0	263,282,284,303
284	4	14	0	264,283,285,304
285	5	14	0	265,284,286,305
286	6	14	0	266,285,287,306
287	7	14	0	267,286,288,307
288	8	14	0	268,287,289,308
289	9	14	0	269,288,290,309
290	10	14	0	270,289,291,310
291	11	14	0	271,290,292,311
292	12	14	0	272,291,293,312
293	13	14	0	273,292,294,313
294	14	14	0	274,293,295,314
295	15	14	0	275,294,296,315
296	16	14	0	276,295,297,316
297	17	14	0	277,296,298,317
298	18	14	0	278,297,299,318
299	19	14	0	279,298,319
300	0	15	0	280,301,320
301	1	15	0	281,300,302,321
302	2	15	0	282,301,303,322
303	3	15	0	283,302,304,323
304	4	15	0	284,303,305,324
305	5	15	0	285,304,306,325
306	6	15	0	286,305,307,326
307	7	15	0	287,306,308,327
308	8	15	0	288,307,309,328
309	9	15	0	289,308,310,329
310	10	15	0	290,309,311,330
311	11	15	0	291,310,312,331
312	12	15	0	292,311,313,332
313	13	15	0	293,312,314,333
314	14	15	0	294,313,315,334
315	15	15	0	295,314,316,335
316	16	15	0	296,315,317,336
317	17	15	0	297,316,318,337
318	18	15	0	298,317,319,338
319	19	15	0	299,318,339
320	0	16	0	300,321,340
321	1	16	0	301,320,322,341
322	2	16	0	302,321,323,342
323	3	16	0	303,322,324,343
324	4	16	0	304,323,325,344
325	5	16	0	305,324,326,345
326	6	16	0	306,325,327,346
327	7	16	0	307,326,328,347
328	8	16	0	308,327,329,348
329	9	16	0	309,328,330,349
330	10	16	0	310,329,331,350
331	11	16	0	311,330,332,351
332	12	16	0	312,331,333,352
333	13	16	0	313,332,334,353
334	14	16	0	314,333,335,354
335	15	16	0	315,334,336,355
336	16	16	0	316,335,337,356
337	17	16	0	317,336,338,357
338	18	16	0	318,337,339,358
339	19	16	0	319,338,359
340	0	17	0	320,341,360
341	1	17	0	321,340,342,361
342	2	17	0	322,341,343,362
343	3	17	0	323,342,344,363
344	4	17	0	324,343,345,364
345	5	17	0	325,344,346,365
346	6	17	0	326,345,347,366
347	7	17	0	327,346,348,367
348	8	17	0	328,347,349,368
349	9	17	0	329,348,350,369
350	10	17	0	330,349,351,370
351	11	17	0	331,350,352,371
352	12	17	0	332,351,353,372
353	13	17	0	333,352,354,373
354	14	17	0	334,353,355,374
355	15	17	0	335,354,356,375
356	16	17	0	336,355,357,376
357	17	17	0	337,356,358,377
358	18	17	0	338,357,359,378
359	19	17	0	339,358,379
360	0	18	0	340,361,380
361	1	18	0	341,360,362,381
362	2	18	0	342,361,363,382
363	3	18	0	343,362,364,383
364	4	18	0	344,363,365,384
365	5	18	0	345,364,366,385
366	6	18	0	346,365,367,386
367	7	18	0	347,366,368,387
368	8	18	0	348,367,369,388
369	9	18	0	349,368,370,389
370	10	18	0	350,369,371,390
