rate0 rate1 rate2 loglikelihood
0.05085364 0.03942585 0.0447657 -123490.84388961252
0.06108036 0.04855157 0.04152635 -123884.46722887139
0.0209336 0.20706213 0.34244768 -122617.31567218858
0.0722362 0.00434814 0.16140104 -124034.81461644397
0.08461893 0.0243813 0.06200899 -124516.2913773653
0.07405363 0.05608119 0.08197512 -124355.06780835918
0.04858299 0.08217907 0.11464748 -123568.83440792438
0.07775617 0.02539321 0.06063519 -124357.52251860361
0.08515208 0.07227922 0.18183632 -124672.65978019321
0.01769632 0.0541995 0.02783289 -122459.06245786
0.02213385 0.27570666 0.55755067 -122660.63266916513
0.08283388 0.0246445 0.06165166 -124477.07510469285
0.06578479 0.05580511 0.07403128 -124112.38759628302
0.02065878 0.15693331 0.07357106 -122525.3840791272
0.09276454 0.04442678 0.05152694 -124715.42498253203
0.06019914 0.06832266 0.07397432 -123946.67728259588
0.01891973 0.10258369 0.04981326 -122486.27824257038
0.02950524 0.04340573 0.05675295 -122620.85571902424
0.07084912 0.03781572 0.05056394 -124191.80849463165
0.06077411 0.02546704 0.13741165 -123930.64949191755
0.06904317 0.05640056 0.08794023 -124224.26436276665
0.02210325 0.20702526 0.09587252 -122572.77221288472
0.06087816 0.07520226 0.10350481 -124004.88818589713
0.0657589 0.05140704 0.06836268 -124097.99199303809
0.0359278 0.11952621 0.06967031 -122999.95119796667
0.06638533 0.04786094 0.04320077 -124061.61195431028
0.06077467 0.0257379 0.13722699 -123931.80171117287
0.09188124 0.00718584 0.05672615 -124541.27787651078
0.08301126 0.00417789 0.05764198 -124277.65729849102
0.02118958 0.05374473 0.02893548 -122381.38022806171
0.03467294 0.15851603 0.24850662 -123062.62841887394
0.09174566 0.02420278 0.03111969 -124593.57976921555
0.04469742 0.10808366 0.0914621 -123404.90830973041
0.03314277 0.04528774 0.06163539 -122781.88837781182
0.05551554 0.05819677 0.03368899 -123672.00258319963
0.05862021 0.02969349 0.13272742 -123871.83935573538
0.07900999 0.01747514 0.06677799 -124360.20013682422
0.07014256 0.04913488 0.06856098 -124224.36174157346
0.02034067 0.21877542 0.10032168 -122562.41331312653
0.01338292 0.23851138 0.42219542 -122936.72817288939
0.0895097 0.02366015 0.06298804 -124616.81183277999
0.02054052 0.17550583 0.11735558 -122559.6250269506
