rate loglikelihood
0.083003 -5183.948694241273
0.00679669 -5030.1951567357255
0.12717323 -5195.9487463459645
0.03455338 -5134.056847460837
0.03495437 -5134.97185081342
0.04036384 -5145.93015535713
0.04242565 -5149.498457877849
0.12509219 -5195.553956016757
0.03302105 -5130.416460008014
0.01329735 -5058.752770109567
0.03262388 -5129.434587654407
0.07761134 -5181.553871320222
0.01721717 -5076.821579475637
0.03273837 -5129.719287311057
0.0756266 -5180.579469169834
0.04587146 -5154.823844532947
0.07522106 -5180.373504812056
0.01181974 -5051.675519539338
0.04351872 -5151.27015925642
0.00662201 -5029.738255978551
0.03785943 -5141.163104426676
0.01033281 -5044.5974550446235
0.08774248 -5185.796870128188
0.00777971 -5033.462332026262
0.0050576 -5029.044308375926
0.00215816 -5117.560102210912
0.11944785 -5194.429676532871
0.04447364 -5152.753951361276
0.02219848 -5097.172242366561
0.00515778 -5028.807496680312
0.00666591 -5029.848567037769
0.13077835 -5196.610147198099
0.047951 -5157.693489152962
0.00675127 -5030.071834596314
0.0546072 -5165.435284021133
0.05898621 -5169.552933519869
0.00737448 -5031.9961869898825
0.03638811 -5138.121197487308
0.00672881 -5030.011996189366
0.00537556 -5028.473162242623
0.09726413 -5188.951401498483
0.04368669 -5151.535396093341
0.00566973 -5028.3521159329575
0.06681929 -5175.488477693738
0.00762373 -5032.881711355541
0.0704342 -5177.746374761471
0.00733496 -5031.861053673018
0.03557736 -5136.363459358668
0.00557368 -5028.354569314627
0.00575395 -5028.376582532331
0.07955121 -5182.455593732413
0.0067617 -5030.099881013141
0.02231358 -5097.603425666896
0.00683436 -5030.2997317281615
0.01778095 -5079.286323994451
0.00654954 -5029.563168069314
0.0053179 -5028.539363603933
0.03374594 -5132.167449315649
0.02069732 -5091.385742563046
0.00596878 -5028.540217051996
0.02310557 -5100.522067558998
0.00703032 -5030.874967724765
0.00553246 -5028.36616405521
0.02712302 -5114.061773138026
0.02708347 -5113.938461281565
0.0055158 -5028.372724059371
0.00336858 -5048.625739311999
0.01320907 -5058.331728216012
0.01886376 -5083.908447169871
0.01235424 -5054.2398616138435
0.00568383 -5028.354530883495
0.00591043 -5028.482298768583
0.03543075 -5136.0391954888055
0.00539493 -5028.454285861254
0.02453251 -5105.57025813041
0.00624857 -5028.940452884164
0.01505635 -5067.03769954355
0.02296203 -5099.9993118587345
0.01676435 -5074.81422014459
0.00591496 -5028.486448170826
0.00488895 -5029.5789857020545
0.00455513 -5031.240614523241
0.01074129 -5046.525444003693
0.0068947 -5030.471394114098
0.0126209 -5055.5184646789385
0.00573628 -5028.369479464187
0.00616188 -5028.79616270723
0.0064721 -5029.386269954972
0.01395952 -5061.897543787093
0.00718016 -5031.347121432462
0.01123719 -5048.886163509016
0.00532027 -5028.536339127625
0.01654554 -5073.835655040034
0.00109831 -5371.015308184814
0.00396513 -5036.944889515444
0.00160872 -5201.767359880641
0.0111671 -5048.551506544963
0.00650055 -5029.450014560321
0.0111594 -5048.514779895354
0.00612169 -5028.735197111587
0.00988844 -5042.525259936611
0.00260676 -5080.738336977487
0.01013307 -5043.662208604747
0.00524249 -5028.649614710113
0.00675196 -5030.07367704276
0.01193251 -5052.216442891868
0.00532118 -5028.535196068826
0.00512811 -5028.871792088182
0.00995274 -5042.82315087121
0.00590004 -5028.473000039419
0.01050559 -5045.4106765979495
0.00651849 -5029.490939274185
0.01050559 -5045.4106765979495
0.00512811 -5028.871792088182
0.00651849 -5029.490939274185
0.00995274 -5042.82315087121
0.00590004 -5028.473000039419
0.01041069 -5044.9635744802035
0.00685763 -5030.365315741213
0.00616613 -5028.802842454436
0.0067972 -5030.196555621889
0.00982553 -5042.234619337221
0.01072244 -5046.436065508571
0.00656961 -5029.610766762799
0.00731834 -5031.804682123658
0.00915576 -5039.1943949446195
0.00588542 -5028.4604381701565
0.0066109 -5029.710822832459
0.00992181 -5042.679745812745
0.00797062 -5034.197166503678
0.00947734 -5040.640475876626
0.00652449 -5029.5047744116855
0.00789175 -5033.890543415333
0.00884973 -5037.847259630796
0.00533414 -5028.5191748775105
0.01155522 -5050.407587393404
0.0064935 -5029.434083062277
0.01148683 -5050.080064525687
0.00630048 -5029.034843883135
0.01135788 -5049.463046871984
0.0066604 -5029.834538136237
0.00457237 -5031.132173199129
0.01211859 -5053.109255652312
0.00511136 -5028.910223541332
0.00489555 -5029.554617173325
0.00662423 -5029.743740135728
0.00852983 -5036.476141765237
0.00953773 -5040.915027131369
0.00661836 -5029.729218509831
0.00670146 -5029.940164567623
0.00855439 -5036.579900693704
0.00572113 -5028.364207346009
0.01309024 -5057.764394008384
0.00200839 -5134.959821143922
0.00742546 -5032.172718918329
0.01094892 -5047.511683524031
0.00586295 -5028.4423653739705
0.00783631 -5033.677551867709
0.0081035 -5034.722841433743
0.00606943 -5028.661813984742
0.01246429 -5054.767680585418
0.00564257 -5028.349429114316
0.01115571 -5048.4971852443905
0.0048025 -5029.926500149879
0.0067852 -5030.16367432329
0.00873344 -5037.344070181272
0.00616774 -5028.805379733754
0.00534181 -5028.510060849197
0.00660152 -5029.687842612202
0.00511555 -5028.90045334473
0.01124425 -5048.9199278811675
0.00872005 -5037.286423077861
0.01233951 -5054.169211918168
0.00544643 -5028.412059504905
0.00908543 -5038.882081406034
0.00466214 -5030.609931565443
0.00493186 -5029.425669828469
0.00279377 -5070.185427603333
0.00743715 -5032.213564180942
0.00660558 -5029.69776608257
0.01322103 -5058.388775184059
0.00596829 -5028.53968732323
0.01009711 -5043.494480400318
0.005867 -5028.445510204446
0.00681095 -5030.2344895539445
0.00674505 -5030.055188743651
0.00649884 -5029.446122866869
0.00773034 -5033.2765055266
0.00562388 -5028.349106483774
0.00642124 -5029.276106115119
0.00575668 -5028.377770500049
0.00645952 -5029.358568345269
0.00546987 -5028.396560539899
0.00549563 -5028.382140105454
0.00642364 -5029.281187698779
0.00900639 -5038.532958013053
0.00646515 -5029.370921765668
0.00549301 -5028.383484972317
0.00700028 -5030.783542074226
0.00530506 -5028.556211119065
0.00997366 -5042.920181075521
0.00548084 -5028.390089488971
0.0072051 -5031.428195263408
0.00459018 -5031.022905727986
0.0054169 -5028.434875019058
0.00600125 -5028.5765123819665
0.0045899 -5031.024578041574
0.00624661 -5028.937006192534
0.00592418 -5028.495078749476
0.00596532 -5028.536520373218
0.00730587 -5031.762566970684
0.0052843 -5028.585087214429
0.00860812 -5036.807769197437
0.00548641 -5028.386990951387
0.00522135 -5028.685546494503
0.00636735 -5029.1648073871675
0.00625844 -5028.957960372076
0.00699538 -5030.768740857175
0.00631401 -5029.060387264145
0.00531965 -5028.537127794921
0.0060272 -5028.607549964645
0.00584749 -5028.430806591346
0.00630504 -5029.043413320481
0.00543335 -5028.421704616622
0.00533146 -5028.522427089537
0.00674088 -5030.044059310305
0.00547046 -5028.39619936018
0.00589724 -5028.470547537541
0.00475117 -5030.1586276745875
0.00579507 -5028.397028916965
0.00682805 -5030.282055967818
0.0050196 -5029.149297132791
0.00655917 -5029.585926953134
0.0062862 -5029.008299979279
0.00481561 -5029.870365562978
0.00595945 -5028.530312780791
0.00492029 -5029.465803208624
