rate loglikelihood
0.08372985 -124607.75901598267
0.06573733 -124111.21330374836
0.07170735 -124297.09968356403
0.02599291 -122356.241810558
0.062425 -123997.55970858251
0.05612798 -123758.7547255663
0.06609895 -124123.14979457419
0.0667052 -124142.95852037003
0.03750303 -122878.81329124587
0.06058805 -123931.05890500596
0.04691785 -123352.46853945972
0.0750719 -124392.02000588216
0.06984256 -124241.52589259199
0.07331583 -124343.31471732173
0.0659661 -124118.7750809512
0.02729593 -122400.00900741354
0.06103665 -123947.53382565109
0.09098669 -124761.3780316877
0.07136368 -124287.02105455371
0.08021096 -124524.70926741256
0.03750689 -122879.01282873019
0.06186645 -123977.60721208643
0.05190479 -123580.90256502415
0.09064854 -124754.70440039254
0.03461984 -122731.08112117513
0.02899867 -122466.56558930146
0.0466984 -123341.9805647805
0.02696796 -122388.33471605684
0.05999889 -123909.18855411663
0.03308244 -122654.3268989318
0.08055727 -124533.15193012312
0.01971731 -122303.29591311378
0.07284722 -124330.01159317166
0.05552764 -123734.35480980195
0.04750517 -123380.36621184119
0.01969964 -122303.71996319543
0.03466028 -122733.12640548876
0.04604158 -123310.38376663093
0.06421377 -124059.91508750185
0.01831989 -122352.22061891714
0.06434437 -124064.37692391317
0.04440065 -123230.16315347637
0.01899258 -122324.59321552608
0.01952951 -122308.03699691824
0.04875763 -123438.99465392943
0.04273369 -123146.9739002841
0.02818697 -122433.68457415307
0.01928051 -122315.14610504526
0.00881459 -124953.1796306054
0.04458933 -123239.47591357134
0.04772475 -123390.73044647773
0.03567151 -122784.58364848077
0.01394166 -122815.17540824879
0.02769732 -122414.84005676117
0.04519647 -123269.28991811867
0.02911138 -122471.27957771937
0.01996379 -122297.8488049413
0.05407576 -123674.13973968216
0.03971791 -122993.16139128595
0.01954289 -122307.68171177141
0.04174192 -123096.78731291123
0.02227726 -122283.15216336308
0.01997411 -122297.63940545509
0.05830904 -123844.96953928033
0.01943534 -122310.61323457224
0.0066262 -127459.9078013485
0.02535206 -122337.54412559257
0.03550155 -122775.89694795404
0.0297741 -122499.65876397767
0.0482071 -123413.37089825587
0.02012838 -122294.68324635502
0.0319315 -122598.52549108953
0.01399568 -122805.1306991597
0.01237855 -123181.35163400901
0.01365838 -122870.39196851164
0.0103212 -123982.60605660712
0.02440209 -122313.9046761283
0.0417683 -123098.1282892523
0.03294822 -122647.73474876375
0.01123433 -123569.6082581901
0.02560707 -122344.73782239553
0.03619239 -122811.28281953128
0.02034178 -122291.12003548135
0.02886632 -122461.07403539147
0.01516815 -122620.66717176452
0.02346994 -122296.2174902645
0.02446944 -122315.40514823422
0.02733865 -122401.55974487432
0.03024072 -122520.2665796553
0.0190638 -122322.13005489734
0.02279003 -122287.32402917084
0.02963963 -122493.8129499046
0.02569007 -122347.15094870664
0.0236123 -122298.52758891613
0.02042816 -122289.84639846206
0.02214255 -122282.44711095784
0.03346331 -122673.13839190295
0.02680094 -122382.55140191237
0.01521908 -122613.95767362925
0.02363643 -122298.9337738293
0.02079306 -122285.49719156796
0.03078892 -122545.06788036115
0.01441674 -122731.80180104895
0.02683303 -122383.65393200445
0.02109953 -122283.07519684541
0.02175959 -122281.38673147008
0.03147755 -122577.0257389261
0.02008366 -122295.50683582299
0.02389529 -122303.55129498048
0.02568576 -122347.02474000634
0.02074203 -122286.0075383132
0.01673849 -122453.65682960446
0.019279 -122315.19220381256
